index,base_singular_value,stress_singular_value
1,9.656564550666697,9.718179279196447
2,1.302846544092426,2.278312597781901
3,0.2303078389212813,1.967683782205157
4,0.21886495053017205,1.9046571900934879
5,0.20839926519299565,1.8760906869580336
6,0.20455967105706144,1.8274943072555783
7,0.19899950814277745,1.7947101419292069
8,0.19597994828729356,1.673819974832406
9,0.19417572963695787,1.6255626006221713
10,0.19065545919634036,1.572066115336312
11,0.18708359483683915,1.5553531267052716
12,0.17994986339742164,1.5424711840014953
13,0.17507338473485776,1.4945654444108327
14,0.17121402826303977,1.4787734570661626
15,0.1639973376867484,1.4282200278218922
